Client,Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061621 - 1,580,Revenue,20011616,JUST CHILLING LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061623 - 1,420,Revenue,20011616,JUST CHILLING LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061625 - 1,2263.46,Revenue,20000258,L A WOOD (OXON) LTD
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061626 - 0,2887.42,Revenue,20000258,L A WOOD (OXON) LTD
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061628 - 0,8358.72,Revenue,20019321,MONARD ELECTRICAL CONTRACTORS
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061635 - 0,472,Revenue,20014739,MULTI-FLOORS LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061642 - 1,444,Revenue,20014739,MULTI-FLOORS LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061647 - 0,3145.33,Revenue,20012914,PROELEC INSTALLATIONS LTD
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061648 - 1,3246.21,Revenue,20012914,PROELEC INSTALLATIONS LTD
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061649 - 0,14991.91,Revenue,20019075,SCM (WYCOMBE) LTD
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061650 - 1,7260,Revenue,20019075,SCM (WYCOMBE) LTD
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061652 - 1,4488,Revenue,20019075,SCM (WYCOMBE) LTD
OCC,HRA,Main Contractor,Y021,02/08/2016,1028407 - 0,3513.47,Capital,20015885,NATIONWIDE WINDOWS
OCC,HRA,Main Contractor,Y021,05/07/2016,1028892 - 0,996.8,Capital,20011406,HAYS SPECIALIST RECRUITMENT LTD
OCC,HRA,Main Contractor,Y021,05/07/2016,1028894 - 0,720.2,Capital,20011406,HAYS SPECIALIST RECRUITMENT LTD
OCC,HRA,Main Contractor,Y021,12/07/2016,1028913 - 0,950,Capital,20006929,ISIS SCAFFOLDING LTD
OCC,HRA,Main Contractor,Y021,05/07/2016,1029013 - 0,996.8,Capital,20011406,HAYS SPECIALIST RECRUITMENT LTD
OCC,HRA,Main Contractor,Y021,20/09/2016,1029035 - 0,3168.28,Capital,20015885,NATIONWIDE WINDOWS
OCC,HRA,Main Contractor,Y021,02/08/2016,1029118 - 0,9046.63,Capital,20015885,NATIONWIDE WINDOWS
OCC,HRA,Services Maintenance (Planned),B1103,31/08/2016,1029150 - 1,432.18,Revenue,20013614,SMS ENVIRONMENTAL LIMITED
